ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,ATMOSPHERIC PRESSURE (Pascal),LOCATION Latitude,LOCATION Longitude,LOCATION Speed,LOCATION ORIENTATION,FRAME
10.26378,-0.442001,-0.268951,9.779996,-0.402133,-0.600315,-0.039036,-0.025813,0.332057,-0.027008,-0.052872,-3.97E-04,20.31,-17.8198,-0.9872,179.2416,2.3501,-93.5125,102046.92,-33.964306,18.472773,0,,67
10.130432,-0.420959,-0.268951,9.779996,-0.402133,-0.600315,-0.039036,-0.025813,0.332057,-0.027008,-0.052872,-3.97E-04,20.31,-17.8198,-0.9872,179.2416,2.3501,-93.5125,102046.92,-33.964306,18.472773,0,,68
10.149582,-0.459686,-0.325973,9.780032,-0.401731,-0.599993,-0.109892,-0.004979,0.316898,-0.019547,-0.058197,-0.004669,20.3978,-17.7319,-1.1583,179.2416,2.3501,-93.5125,102046.92,-33.964306,18.472773,0,,69
10.235688,-0.498001,-0.459763,9.780032,-0.401731,-0.599993,-0.109892,-0.004979,0.316898,0.009216,-0.06778,-0.001465,20.3978,-17.7319,-1.1583,179.2416,2.3501,-93.5125,102046.92,-33.964306,18.472773,0,,70
10.235688,-0.498001,-0.459763,9.779774,-0.402502,-0.603674,-0.042582,-0.059373,0.240045,0.02092,-0.056061,-0.00679,20.3978,-17.7319,-1.1583,179.2416,2.3501,-93.5125,102046.92,-33.964306,18.472773,0,,71
10.31749,-0.531845,-0.362991,9.779774,-0.402502,-0.603674,0.087427,-0.122533,0.227598,0.012405,-0.059265,-0.01532,20.3978,-17.4683,-1.1583,179.1703,2.3523,-93.5322,102046.92,-33.964306,18.472773,0,,72
10.31749,-0.531845,-0.362991,9.779274,-0.405049,-0.610023,0.087427,-0.122533,0.227598,0.012405,-0.059265,-0.01532,20.3978,-17.4683,-1.1583,179.1703,2.3523,-93.5322,102047.92,-33.964306,18.472773,0,,73
10.31778,-0.521332,-0.440903,9.779156,-0.404978,-0.61195,0.102279,-0.072243,0.183479,0.008148,-0.049667,-0.024902,20.4855,-17.6441,-1.3294,179.1703,2.3523,-93.5322,102047.92,-33.964306,18.472773,0,,74
10.227204,-0.459686,-0.59108,9.77891,-0.405477,-0.615544,0.030426,-0.049857,0.131999,0.003876,-0.053925,-0.00679,20.4855,-17.6441,-1.3294,179.1703,2.3523,-93.5322,102047.92,-33.964306,18.472773,0,,75
10.227204,-0.459686,-0.59108,9.77891,-0.405477,-0.615544,0.030426,-0.049857,0.131999,-0.009964,-0.040085,-0.007858,20.5734,-17.732,-1.2438,178.9248,2.3697,-93.6018,102047.92,-33.964306,18.472773,0,,76
10.130432,-0.446594,-0.451981,9.778692,-0.405219,-0.619161,-0.027816,-0.026737,0.046492,-0.019547,-0.050735,-0.004669,20.5734,-17.732,-1.2438,178.9248,2.3697,-93.6018,102047.92,-33.964306,18.472773,0,,77
10.081162,-0.437805,-0.279465,9.778692,-0.405219,-0.619161,-0.094532,0.002156,0.26942,-0.013168,-0.081635,0.00705,20.8372,-17.6441,-0.9872,178.9248,2.3697,-93.6018,102047.92,-33.964306,18.472773,0,,78
10.081162,-0.437805,-0.279465,9.778406,-0.405158,-0.623704,-0.094532,0.002156,0.26942,-0.013168,-0.081635,0.00705,20.8372,-17.6441,-0.9872,178.9248,2.3697,-93.6018,102047.92,-33.964306,18.472773,0,,79
10.130432,-0.498001,-0.297241,9.778006,-0.406938,-0.628801,-0.094532,0.002156,0.26942,-0.007843,-0.113586,0.002792,20.7493,-17.6441,-0.5594,178.8661,2.3678,-93.6496,102047.92,-33.964306,18.472773,0,,80
10.130432,-0.498001,-0.297241,9.778006,-0.406938,-0.628801,-0.102947,-0.057371,0.370596,-0.007843,-0.113586,0.002792,20.7493,-17.6441,-0.5594,178.8661,2.3678,-93.6496,102047.92,-33.964306,18.472773,0,,81
10.177002,-0.593765,-0.585846,9.777572,-0.407861,-0.634946,-0.102947,-0.057371,0.370596,-0.015289,-0.131699,-0.011063,20.7493,-17.6441,-0.5594,178.8661,2.3678,-93.6496,102047.92,-33.964306,18.472773,0,,82
10.202424,-0.493393,-0.493027,9.777572,-0.408421,-0.660679,0.004489,-0.147348,0.11559,-0.039795,-0.116776,-0.020645,20.7493,-17.4683,-0.816,178.5127,2.3869,-93.8663,102047.92,-33.964306,18.472773,0,,83
10.202424,-0.493393,-0.493027,9.775842,-0.408421,-0.660679,-0.002869,-0.052567,0.11559,-0.039795,-0.116776,-0.020645,20.7493,-17.4683,-0.816,178.5127,2.3869,-93.8663,102047.92,-33.964306,18.472773,0,,84
10.202424,-0.493393,-0.493027,9.775166,-0.40579,-0.672219,-7.86E-04,-0.074473,0.353654,-0.04512,-0.127441,-0.028107,20.7493,-17.4683,-0.816,178.5127,2.3869,-93.8663,102047.92,-33.964306,18.472773,0,,85
10.190064,-0.502365,-0.26416,9.775166,-0.40579,-0.672219,-7.86E-04,-0.074473,0.353654,-0.037659,-0.13063,-0.028107,20.6615,-17.6441,-0.3027,178.5127,2.3869,-93.8663,102047.92,-33.964306,18.472773,0,,86
10.190064,-0.502365,-0.26416,9.774602,-0.403323,-0.681834,-0.007173,-0.101572,0.46863,-0.020615,-0.156204,-0.023834,20.6615,-17.6441,-0.3027,178.5127,2.3869,-93.8663,102047.92,-33.964306,18.472773,0,,87
10.207048,-0.55545,-0.364288,9.774602,-0.403323,-0.681834,-0.007173,-0.101572,0.46863,-0.020615,-0.156204,-0.023834,20.7495,-18.1715,-0.3027,175.1221,2.3571,-93.9902,102047.92,-33.964306,18.472773,0,,88
10.210526,-0.574615,-0.539276,9.773718,-0.401516,-0.695414,-0.001695,-0.130982,0.369707,-0.014221,-0.151932,-0.02916,20.7495,-18.1715,-0.3027,175.1221,2.3571,-93.9902,102047.92,-33.964306,18.472773,0,,89
10.210526,-0.574615,-0.539276,9.773718,-0.401516,-0.695414,-0.001695,-0.130982,0.369707,-0.004639,-0.13382,-0.022766,20.6617,-18.0836,-0.4738,175.1221,2.3571,-93.9902,102047.92,-33.964306,18.472773,0,,90
10.302812,-0.632065,-0.466721,9.772278,-0.401923,-0.715148,0.051539,-0.153698,0.097817,-3.81E-04,-0.128494,-0.030228,20.6617,-18.0836,-0.4738,175.1221,2.3571,-93.9902,102047.92,-33.964306,18.472773,0,,91
10.244172,-0.746994,-0.440903,9.77111,-0.404273,-0.72964,0.0666,-0.265878,0.283941,-0.014221,-0.146606,-0.036621,20.7497,-17.9077,-0.6449,178.1044,2.3627,-94.2705,102047.92,-33.964306,18.472773,0,,92
10.244172,-0.746994,-0.440903,9.77111,-0.404273,-0.72964,0.0666,-0.265878,0.283941,-0.014221,-0.146606,-0.036621,20.7497,-17.9077,-0.6449,178.1044,2.3627,-94.2705,102047.92,-33.964306,18.472773,0,,93
10.175064,-0.67038,-0.704864,9.769728,-0.403922,-0.748103,0.027748,-0.322572,0.326214,-0.017426,-0.134888,-0.064316,20.9253,-17.9956,-0.9871,178.1044,2.3627,-94.2705,102047.92,-33.964306,18.472773,0,,94
10.109528,-0.602478,-0.266769,9.768828,-0.400232,-0.761704,-0.08408,-0.22495,0.439825,-0.002502,-0.141281,-0.066452,20.9253,-17.9956,-0.9871,178.1044,2.3627,-94.2705,102047.92,-33.964306,18.472773,0,,95
10.109528,-0.602478,-0.266769,9.768828,-0.400232,-0.761704,-0.08408,-0.22495,0.439825,0.006012,-0.171112,-0.057922,21.0133,-18.0834,-1.0727,177.875,2.339,-94.4585,102047.92,-33.964306,18.472773,0,,96
10.053818,-0.576508,-0.308716,9.768072,-0.395406,-0.773824,-0.122765,-0.147018,0.522869,0.016663,-0.202011,-0.033432,21.0133,-18.0834,-1.0727,177.875,2.339,-94.4585,102047.92,-33.964306,18.472773,0,,97
10.053818,-0.576508,-0.308716,9.768072,-0.395406,-0.773824,-0.122765,-0.147018,0.522869,0.016663,-0.202011,-0.033432,20.8374,-18.347,-1.4149,177.875,2.339,-94.4585,102047.92,-33.964306,18.472773,0,,98
10.01056,-0.646881,-0.550873,9.766356,-0.396276,-0.794763,-0.156983,-0.197267,0.316101,0.025192,-0.184952,-0.016388,20.8374,-18.347,-1.4149,177.875,2.339,-94.4585,102047.92,-33.964306,18.472773,0,,99
10.015504,-0.785294,-0.287674,9.764426,-0.403385,-0.814651,-0.189838,-0.270231,0.320701,0.019867,-0.19455,-0.00679,20.8374,-18.4349,-1.586,180.9701,2.3159,-94.6523,102046.92,-33.964306,18.472773,0,,100
10.015504,-0.785294,-0.287674,9.764426,-0.403385,-0.814651,-0.189838,-0.270231,0.320701,0.019867,-0.19455,-0.00679,20.8374,-18.4349,-1.586,180.9701,2.3159,-94.6523,102046.92,-33.964306,18.472773,0,,101
9.924668,-0.895294,-0.26358,9.762442,-0.41373,-0.833043,-0.233733,-0.448225,0.61666,0.02626,-0.230759,-0.024902,20.9251,-18.6106,-2.0136,180.9701,2.3159,-94.6523,102046.92,-33.964306,18.472773,0,,102
9.924668,-0.895294,-0.26358,9.759978,-0.421504,-0.85764,-0.304911,-0.461605,0.601762,0.025192,-0.280838,-0.043015,20.9251,-18.6106,-2.0136,180.9701,2.3159,-94.6523,102046.92,-33.964306,18.472773,0,,103
